year,month,day,account_id,amount,created_at
2025,5,10,8,17317,'2020/1/1 12:30'
2012,12,18,16,5703,'2020/1/2 12:30'
2010,3,12,3,5783,'2020/1/3 12:30'
2015,1,23,5,5967,'2020/1/4 12:30'
2005,11,18,10,21596,'2020/1/5 12:30'
2009,3,24,10,8318,'2020/1/6 12:30'
2015,2,28,8,8204,'2020/1/7 12:30'
2015,10,17,3,18928,'2020/1/8 12:30'
2024,4,16,16,23639,'2020/1/9 12:30'
2018,8,4,5,11167,'2020/1/10 12:30'
2000,5,17,15,521,'2020/1/11 12:30'
2000,3,11,15,16953,'2020/1/12 12:30'
2008,11,23,19,1674,'2020/1/13 12:30'
2005,5,9,13,7366,'2020/1/14 12:30'
2013,1,10,17,16792,'2020/1/15 12:30'
2017,3,21,10,12889,'2020/1/16 12:30'
2017,3,22,17,20603,'2020/1/17 12:30'
2013,8,1,12,23045,'2020/1/18 12:30'
2005,11,16,17,20251,'2020/1/19 12:30'
2019,3,29,19,13468,'2020/1/20 12:30'
2021,5,7,15,4924,'2020/1/21 12:30'
2024,11,14,16,14564,'2020/1/22 12:30'
2001,3,22,10,7495,'2020/1/23 12:30'
2002,11,11,13,8360,'2020/1/24 12:30'
2025,9,17,7,17157,'2020/1/25 12:30'
2001,7,26,18,5585,'2020/1/26 12:30'
2022,7,6,20,11288,'2020/1/27 12:30'
2024,4,22,9,3256,'2020/1/28 12:30'
2003,12,28,15,13818,'2020/1/29 12:30'
2022,2,15,5,17727,'2020/1/30 12:30'
2022,8,13,10,3262,'2020/1/31 12:30'
2000,8,18,2,4707,'2020/2/1 12:30'
2012,1,12,10,19605,'2020/2/2 12:30'
2014,1,15,16,4195,'2020/2/3 12:30'
2024,5,22,9,5792,'2020/2/4 12:30'
2024,9,27,2,3501,'2020/2/5 12:30'
2002,11,2,2,21573,'2020/2/6 12:30'
2014,9,1,16,13720,'2020/2/7 12:30'
2001,4,16,3,24686,'2020/2/8 12:30'
2014,7,23,10,16706,'2020/2/9 12:30'
2016,7,10,11,15818,'2020/2/10 12:30'
2022,11,25,5,7469,'2020/2/11 12:30'
2013,10,13,14,12665,'2020/2/12 12:30'
2023,4,22,13,21104,'2020/2/13 12:30'
2009,12,17,10,7287,'2020/2/14 12:30'
2014,9,16,14,20635,'2020/2/15 12:30'
2012,3,2,8,8999,'2020/2/16 12:30'
2019,10,24,15,19444,'2020/2/17 12:30'
2010,3,7,8,11990,'2020/2/18 12:30'
2013,1,25,17,1357,'2020/2/19 12:30'
2009,3,14,18,320,'2020/2/20 12:30'
2004,10,11,9,23222,'2020/2/21 12:30'
2013,6,22,8,8132,'2020/2/22 12:30'
2020,10,18,15,21464,'2020/2/23 12:30'
2022,6,3,18,7904,'2020/2/24 12:30'
2012,8,20,14,13990,'2020/2/25 12:30'
2012,4,3,1,13077,'2020/2/26 12:30'
2010,10,5,6,21583,'2020/2/27 12:30'
2007,10,25,15,13168,'2020/2/28 12:30'
2019,2,12,3,11915,'2020/2/29 12:30'
2023,3,25,1,22272,'2020/3/1 12:30'
2020,4,15,15,8710,'2020/3/2 12:30'
2002,2,29,1,2101,'2020/3/3 12:30'
2019,7,19,15,5844,'2020/3/4 12:30'
2011,2,5,18,5678,'2020/3/5 12:30'
2001,7,13,11,10796,'2020/3/6 12:30'
2001,11,23,13,12557,'2020/3/7 12:30'
2004,7,1,12,18241,'2020/3/8 12:30'
2012,7,23,3,15570,'2020/3/9 12:30'
2017,5,15,1,17954,'2020/3/10 12:30'
2014,2,5,1,9800,'2020/3/11 12:30'
2004,6,25,12,15133,'2020/3/12 12:30'
2023,2,22,2,20409,'2020/3/13 12:30'
2010,12,29,7,3342,'2020/3/14 12:30'
2003,5,26,10,16877,'2020/3/15 12:30'
2020,10,15,17,16135,'2020/3/16 12:30'
2002,6,16,13,16272,'2020/3/17 12:30'
2015,2,13,14,16497,'2020/3/18 12:30'
2019,2,6,7,14622,'2020/3/19 12:30'
2019,3,2,7,24948,'2020/3/20 12:30'
2019,7,25,9,19945,'2020/3/21 12:30'
2022,3,5,1,18756,'2020/3/22 12:30'
2006,10,6,10,127,'2020/3/23 12:30'
2017,11,26,19,13535,'2020/3/24 12:30'
2004,1,27,14,20701,'2020/3/25 12:30'
2024,12,17,16,12030,'2020/3/26 12:30'
2012,7,2,19,11066,'2020/3/27 12:30'
2006,4,5,14,21782,'2020/3/28 12:30'
2015,2,22,8,11445,'2020/3/29 12:30'
2016,7,18,3,9957,'2020/3/30 12:30'
2005,3,23,16,11103,'2020/3/31 12:30'
2007,9,23,7,24958,'2020/4/1 12:30'
2014,10,12,1,18630,'2020/4/2 12:30'
2023,10,29,17,15760,'2020/4/3 12:30'
2005,12,3,17,9320,'2020/4/4 12:30'
2024,5,13,12,6241,'2020/4/5 12:30'
2007,6,11,3,21943,'2020/4/6 12:30'
2024,9,22,2,21968,'2020/4/7 12:30'
